page_title	page_url	video_url	balinese	english	indonesian
Ya	https://dictionary.basabali.org/Ya	https://www.youtube.com/embed/jYlEf5HDLKQ?	Pak guru nyurat aksara ya ring papan tulis.	-	Pak guru menulis aksara ya di papan tulis.
Yadiastun	https://dictionary.basabali.org/Yadiastun	https://www.youtube.com/embed/imS5ex9jvuU?	Ipun sampun makarya malih, yadiastun kantun sinengkaon.	Like a puppet fight, although often quarreling with one’s younger brother, still maintaining a relationship (note: there is always a big fight scene in a wayang performance, but, afterwards, the puppets are put back in their box together; said about people who have had a fight, but who are now friendly again).	Ia sudah kembali bekerja, walaupun masih sakit.
Yakti	https://dictionary.basabali.org/Yakti	https://www.youtube.com/embed/1BwH0S-2Sn0?	Nggih, yakti, benjang tiang lakar nangkil mrika. Mawinan mangkin tiang numbas woh-wohan anggen lakar banten.	Yes, true, tomorrow I plan to go there. That’s why I am going to purchase various fruits to be used for the offerings.	Ya, betul, besok saya hendak datang ke sana. Itulah sebabnya saya sekarang membeli buah-buahan untuk bahan sesajen.
Yen	https://dictionary.basabali.org/Yen	https://www.youtube.com/embed/7NTNQVF7AiI?	Yen dadong ke warung...	If grandma goes to the restaurant...	Kalau nenek ke warung...
Yen	https://dictionary.basabali.org/Yen	https://www.youtube.com/embed/Sx0Iisa0ipQ?	Yen uli di Banjar Selat Tengah niki kal ke Rumah Sakit Jiwa, dija ambahin tiang uli driki, Gus?	If I want to go from this Banjar Selat Tengah to Jiwa Hospital, from here where should I go?	Kalau dari Banjar Selat Tengah ini mau ke Rumah Sakit Jiwa, dari sini saya lewat mana, Gus?
Yening	https://dictionary.basabali.org/Yening	https://www.youtube.com/embed/EEog9h02DGA?	Wisnu: Oh, becik pisan! Yéning Ayu madué galah, ngiring simpang ring studion tiangé. Ayu: Nggih, suksma.	Wisnu: Oh that's great! If you have time, please come visit my studio (Lit. If Ayu has time, please come visit my studio). Ayu: Yes, thank you.	Wisnu: Oh, bagus sekali! Kalau Ayu ada waktu, mari mampir di studio saya. Ayu: Iya, terima kasih.
Yening	https://dictionary.basabali.org/Yening	https://www.youtube.com/embed/rVV3NBU1vS4?	Yening ampun di Desa Susut Kaja..Drika wenten pertigaan malih.	When you get to Susut Kaja village...there will be another intersection.	Kalau sudah di Desa Susut Kaja..Di sana ada lagi pertigaan.
Yoga	https://dictionary.basabali.org/Yoga	https://www.youtube.com/embed/gjnnwic8oDA?	Tiang meled jagi mlajah yoga sareng semadi, punapi nika carane?	I’m very anxious to learn yoga and meditation, how can I do it?	Saya ingin sekali belajar yoga dan semadi, bagaimana caranya?
