title	text	path
Sajatinne	sajatinne	https://dictionary.basabali.org/Sajatinne
Sajawaning	sajawaning	https://dictionary.basabali.org/Sajawaning
Sajawatin	sajawatin	https://dictionary.basabali.org/Sajawatin
Sajebag	sajebag	https://dictionary.basabali.org/Sajebag
Sajeng	sajeng	https://dictionary.basabali.org/Sajeng
Sajeroning	sajeroning	https://dictionary.basabali.org/Sajeroning
Sajuta	sajuta	https://dictionary.basabali.org/Sajuta
Saka	saka	https://dictionary.basabali.org/Saka
Saka mata	saka mata	https://dictionary.basabali.org/Saka_mata
Sakabesik	sakabesik	https://dictionary.basabali.org/Sakabesik
Sakadi	sakadi	https://dictionary.basabali.org/Sakadi
Sakancan	sakancan	https://dictionary.basabali.org/Sakancan
Sakarin	sakarin	https://dictionary.basabali.org/Sakarin
Sakaya	sakaya	https://dictionary.basabali.org/Sakaya
Sakewala	sakewala	https://dictionary.basabali.org/Sakewala
Sakewanten	sakewanten	https://dictionary.basabali.org/Sakewanten
Saking	saking	https://dictionary.basabali.org/Saking
Sakit	sakit	https://dictionary.basabali.org/Sakit
Sakit ended	sakit ended	https://dictionary.basabali.org/Sakit_ended
Sakit kuning	sakit kuning	https://dictionary.basabali.org/Sakit_kuning
Sakita keneh	sakita keneh	https://dictionary.basabali.org/Sakita_keneh
Saksi	saksi	https://dictionary.basabali.org/Saksi
Sakti	sakti	https://dictionary.basabali.org/Sakti
Sakuub	sakuub	https://dictionary.basabali.org/Sakuub
Sal	sal	https://dictionary.basabali.org/Sal
Salah	salah	https://dictionary.basabali.org/Salah
Salah pati	salah pati	https://dictionary.basabali.org/Salah_pati
Salah soca	salah soca	https://dictionary.basabali.org/Salah_soca
Salah tatagihan	salah tatagihan	https://dictionary.basabali.org/Salah_tatagihan
Salahang dewa	salahang dewa	https://dictionary.basabali.org/Salahang_dewa
Salak	salak	https://dictionary.basabali.org/Salak
Salaka	salaka	https://dictionary.basabali.org/Salaka
Salalhpati	salalhpati	https://dictionary.basabali.org/Salalhpati
Salang	salang	https://dictionary.basabali.org/Salang
Salantang	salantang	https://dictionary.basabali.org/Salantang
Salanturne	salanturne	https://dictionary.basabali.org/Salanturne
Salaran	salaran	https://dictionary.basabali.org/Salaran
Salegseg	salegseg	https://dictionary.basabali.org/Salegseg
Salemah-lemah	salemah-lemah	https://dictionary.basabali.org/Salemah-lemah
Salep	salep	https://dictionary.basabali.org/Salep
Salin	salin	https://dictionary.basabali.org/Salin
Saling	saling	https://dictionary.basabali.org/Saling
Saling ngagas tundu	saling ngagas tundu	https://dictionary.basabali.org/Saling_ngagas_tundu
Saling tulung	saling tulung	https://dictionary.basabali.org/Saling_tulung
Salingke	salingke	https://dictionary.basabali.org/Salingke
Salit	salit	https://dictionary.basabali.org/Salit
Salit arsa	salit arsa	https://dictionary.basabali.org/Salit_arsa
Saliu-liuan	saliu-liuan	https://dictionary.basabali.org/Saliu-liuan
Salju	salju	https://dictionary.basabali.org/Salju
Salon	salon	https://dictionary.basabali.org/Salon
Salud	salud	https://dictionary.basabali.org/Salud
Saluir	saluir	https://dictionary.basabali.org/Saluir
Saluiring	saluiring	https://dictionary.basabali.org/Saluiring
Saluk	saluk	https://dictionary.basabali.org/Saluk
Saluka	saluka	https://dictionary.basabali.org/Saluka
Sama	sama	https://dictionary.basabali.org/Sama
Samah	samah	https://dictionary.basabali.org/Samah
Samanggah	samanggah	https://dictionary.basabali.org/Samanggah
Samara	samara	https://dictionary.basabali.org/Samara
Samas	samas	https://dictionary.basabali.org/Samas
Samatra	samatra	https://dictionary.basabali.org/Samatra
Samaya prapti	samaya prapti	https://dictionary.basabali.org/Samaya_prapti
Sambada	sambada	https://dictionary.basabali.org/Sambada
Sambang Baya	sambang baya	https://dictionary.basabali.org/Sambang_Baya
