title	text	path
Ima	ima	https://dictionary.basabali.org/Ima
Imang-imang	imang-imang	https://dictionary.basabali.org/Imang-imang
Imba	imba	https://dictionary.basabali.org/Imba
Imbangang	imbangang	https://dictionary.basabali.org/Imbangang
Imbuh	imbuh	https://dictionary.basabali.org/Imbuh
Imbuhin	imbuhin	https://dictionary.basabali.org/Imbuhin
Imbuhina	imbuhina	https://dictionary.basabali.org/Imbuhina
Imil	imil	https://dictionary.basabali.org/Imil
Impasin	impasin	https://dictionary.basabali.org/Impasin
Impasina	impasina	https://dictionary.basabali.org/Impasina
Impek	impek	https://dictionary.basabali.org/Impek
Impeka	impeka	https://dictionary.basabali.org/Impeka
Impus	impus	https://dictionary.basabali.org/Impus
Imut-imut	imut-imut	https://dictionary.basabali.org/Imut-imut
In	in	https://dictionary.basabali.org/In
Ina	ina	https://dictionary.basabali.org/Ina
Inabang	inabang	https://dictionary.basabali.org/Inabang
Inan	inan	https://dictionary.basabali.org/Inan
Inang	inang	https://dictionary.basabali.org/Inang
Inceg	inceg	https://dictionary.basabali.org/Inceg
Incegang	incegang	https://dictionary.basabali.org/Incegang
Incepang	incepang	https://dictionary.basabali.org/Incepang
Incer	incer	https://dictionary.basabali.org/Incer
Incuh	incuh	https://dictionary.basabali.org/Incuh
Incungina	incungina	https://dictionary.basabali.org/Incungina
Indang	indang	https://dictionary.basabali.org/Indang
Indayang	indayang	https://dictionary.basabali.org/Indayang
Indeng-indeng	indeng-indeng	https://dictionary.basabali.org/Indeng-indeng
Indet	indet	https://dictionary.basabali.org/Indet
Indik	indik	https://dictionary.basabali.org/Indik
Indra	indra	https://dictionary.basabali.org/Indra
Indra Brata	indra brata	https://dictionary.basabali.org/Indra_Brata
Indra danda	indra danda	https://dictionary.basabali.org/Indra_danda
Indra kusaraga	indra kusaraga	https://dictionary.basabali.org/Indra_kusaraga
Indra nila	indra nila	https://dictionary.basabali.org/Indra_nila
Indraksa	indraksa	https://dictionary.basabali.org/Indraksa
Indraprasta	indraprasta	https://dictionary.basabali.org/Indraprasta
Indria	indria	https://dictionary.basabali.org/Indria
Inem	inem	https://dictionary.basabali.org/Inem
Informasi	informasi	https://dictionary.basabali.org/Informasi
Ing	ing	https://dictionary.basabali.org/Ing
Inga	inga	https://dictionary.basabali.org/Inga
Ingan	ingan	https://dictionary.basabali.org/Ingan
Ingan-ingan	ingan-ingan	https://dictionary.basabali.org/Ingan-ingan
Inganin	inganin	https://dictionary.basabali.org/Inganin
Ingeh	ingeh	https://dictionary.basabali.org/Ingeh
Inget	inget	https://dictionary.basabali.org/Inget
Ingetang	ingetang	https://dictionary.basabali.org/Ingetang
Inggas	inggas	https://dictionary.basabali.org/Inggas
Inggasang	inggasang	https://dictionary.basabali.org/Inggasang
Inggel	inggel	https://dictionary.basabali.org/Inggel
Inggih	inggih	https://dictionary.basabali.org/Inggih
Inggih punika	inggih punika	https://dictionary.basabali.org/Inggih_punika
Inggihan	inggihan	https://dictionary.basabali.org/Inggihan
Inggu	inggu	https://dictionary.basabali.org/Inggu
Ingid	ingid	https://dictionary.basabali.org/Ingid
Ingka	ingka	https://dictionary.basabali.org/Ingka
Ingked-ingked	ingked-ingked	https://dictionary.basabali.org/Ingked-ingked
Ingkel	ingkel	https://dictionary.basabali.org/Ingkel
Ingkel-ingkel	ingkel-ingkel	https://dictionary.basabali.org/Ingkel-ingkel
Ingker	ingker	https://dictionary.basabali.org/Ingker
Ingkup	ingkup	https://dictionary.basabali.org/Ingkup
Ingsa putih	ingsa putih	https://dictionary.basabali.org/Ingsa_putih
Ingsah	ingsah	https://dictionary.basabali.org/Ingsah
Ingsahan	ingsahan	https://dictionary.basabali.org/Ingsahan
Ingsak	ingsak	https://dictionary.basabali.org/Ingsak
Ingsakan	ingsakan	https://dictionary.basabali.org/Ingsakan
Ingu	ingu	https://dictionary.basabali.org/Ingu
Inguh	inguh	https://dictionary.basabali.org/Inguh
Inguh-inguhan	inguh-inguhan	https://dictionary.basabali.org/Inguh-inguhan
Inih	inih	https://dictionary.basabali.org/Inih
Inja	inja	https://dictionary.basabali.org/Inja
Injik-injik	injik-injik	https://dictionary.basabali.org/Injik-injik
Injin	injin	https://dictionary.basabali.org/Injin
Injin bangar	injin bangar	https://dictionary.basabali.org/Injin_bangar
Injin bojog	injin bojog	https://dictionary.basabali.org/Injin_bojog
Injin tabu	injin tabu	https://dictionary.basabali.org/Injin_tabu
Inpus	inpus	https://dictionary.basabali.org/Inpus
Insanan	insanan	https://dictionary.basabali.org/Insanan
Intaran	intaran	https://dictionary.basabali.org/Intaran
Inten	inten	https://dictionary.basabali.org/Inten
Intip	intip	https://dictionary.basabali.org/Intip
Intuk	intuk	https://dictionary.basabali.org/Intuk
Intuk-intukan	intuk-intukan	https://dictionary.basabali.org/Intuk-intukan
Intuka	intuka	https://dictionary.basabali.org/Intuka
Intukang	intukang	https://dictionary.basabali.org/Intukang
Intukanga	intukanga	https://dictionary.basabali.org/Intukanga
Inur-inuran	inur-inuran	https://dictionary.basabali.org/Inur-inuran
Inyah	inyah	https://dictionary.basabali.org/Inyah
Inyal	inyal	https://dictionary.basabali.org/Inyal
Ipah	ipah	https://dictionary.basabali.org/Ipah
Ipen	ipen	https://dictionary.basabali.org/Ipen
Ipian	ipian	https://dictionary.basabali.org/Ipian
Ipidan	ipidan	https://dictionary.basabali.org/Ipidan
Ipit	ipit	https://dictionary.basabali.org/Ipit
Ipuan	ipuan	https://dictionary.basabali.org/Ipuan
Ipuh	ipuh	https://dictionary.basabali.org/Ipuh
Ipun	ipun	https://dictionary.basabali.org/Ipun
Ipusertaun	ipusertaun	https://dictionary.basabali.org/Ipusertaun
Irag	irag	https://dictionary.basabali.org/Irag
Iraga	iraga	https://dictionary.basabali.org/Iraga
Iragane	iragane	https://dictionary.basabali.org/Iragane
Ireng	ireng	https://dictionary.basabali.org/Ireng
Iri	iri	https://dictionary.basabali.org/Iri
Iri-irian	iri-irian	https://dictionary.basabali.org/Iri-irian
Irika	irika	https://dictionary.basabali.org/Irika
Iriki	iriki	https://dictionary.basabali.org/Iriki
Iring	iring	https://dictionary.basabali.org/Iring
Iris	iris	https://dictionary.basabali.org/Iris
Irit	irit	https://dictionary.basabali.org/Irit
Irung	irung	https://dictionary.basabali.org/Irung
Iseh	iseh	https://dictionary.basabali.org/Iseh
Isehan	isehan	https://dictionary.basabali.org/Isehan
Isen	isen	https://dictionary.basabali.org/Isen
Iseng	iseng	https://dictionary.basabali.org/Iseng
Iseng-isengan	iseng-isengan	https://dictionary.basabali.org/Iseng-isengan
Isi	isi	https://dictionary.basabali.org/Isi
Isin	isin	https://dictionary.basabali.org/Isin
Isin jeron	isin jeron	https://dictionary.basabali.org/Isin_jeron
Isinin	isinin	https://dictionary.basabali.org/Isinin
Isis	isis	https://dictionary.basabali.org/Isis
Isisang	isisang	https://dictionary.basabali.org/Isisang
Isit	isit	https://dictionary.basabali.org/Isit
Islam Kajawen	islam kajawen	https://dictionary.basabali.org/Islam_Kajawen
Iso	iso	https://dictionary.basabali.org/Iso
Isolasi	isolasi	https://dictionary.basabali.org/Isolasi
Istirahat;	istirahat;	https://dictionary.basabali.org/Istirahat;
Istri	istri	https://dictionary.basabali.org/Istri
Istri ngalang	istri ngalang	https://dictionary.basabali.org/Istri_ngalang
Isuh-isuh	isuh-isuh	https://dictionary.basabali.org/Isuh-isuh
Iswara	iswara	https://dictionary.basabali.org/Iswara
Iteh	iteh	https://dictionary.basabali.org/Iteh
Itek	itek	https://dictionary.basabali.org/Itek
Item	item	https://dictionary.basabali.org/Item
Itep	itep	https://dictionary.basabali.org/Itep
Iter	iter	https://dictionary.basabali.org/Iter
Itik-itik	itik-itik	https://dictionary.basabali.org/Itik-itik
Ituk-ituk	ituk-ituk	https://dictionary.basabali.org/Ituk-ituk
Itung	itung	https://dictionary.basabali.org/Itung
Itunga	itunga	https://dictionary.basabali.org/Itunga
Itut	itut	https://dictionary.basabali.org/Itut
Iug	iug	https://dictionary.basabali.org/Iug
Iugang	iugang	https://dictionary.basabali.org/Iugang
Iuh	iuh	https://dictionary.basabali.org/Iuh
Iunan	iunan	https://dictionary.basabali.org/Iunan
Iur	iur	https://dictionary.basabali.org/Iur
Ius	ius	https://dictionary.basabali.org/Ius
Iusan	iusan	https://dictionary.basabali.org/Iusan
Iwang	iwang	https://dictionary.basabali.org/Iwang
Iwasin	iwasin	https://dictionary.basabali.org/Iwasin
Iwel	iwel	https://dictionary.basabali.org/Iwel
Iyab	iyab	https://dictionary.basabali.org/Iyab
Iyak	iyak	https://dictionary.basabali.org/Iyak
Iyeb	iyeb	https://dictionary.basabali.org/Iyeb
Iyeg	iyeg	https://dictionary.basabali.org/Iyeg
Iyis	iyis	https://dictionary.basabali.org/Iyis
