title	text	path
Uli dija	uli dija	https://dictionary.basabali.org/Uli_dija
Ulian	ulian	https://dictionary.basabali.org/Ulian
Ulianga	ulianga	https://dictionary.basabali.org/Ulianga
Ulig	ulig	https://dictionary.basabali.org/Ulig
Ulihan	ulihan	https://dictionary.basabali.org/Ulihan
Ulihan galungan	ulihan galungan	https://dictionary.basabali.org/Ulihan_galungan
Ulihang	ulihang	https://dictionary.basabali.org/Ulihang
Ulikan	ulikan	https://dictionary.basabali.org/Ulikan
Ulikas	ulikas	https://dictionary.basabali.org/Ulikas
Ulinan	ulinan	https://dictionary.basabali.org/Ulinan
Uling	uling	https://dictionary.basabali.org/Uling
Uliran	uliran	https://dictionary.basabali.org/Uliran
Ulitan	ulitan	https://dictionary.basabali.org/Ulitan
Ulu	ulu	https://dictionary.basabali.org/Ulu
Ulu candra	ulu candra	https://dictionary.basabali.org/Ulu_candra
Ulu likur	ulu likur	https://dictionary.basabali.org/Ulu_likur
Ulu ricem	ulu ricem	https://dictionary.basabali.org/Ulu_ricem
Ulu sari	ulu sari	https://dictionary.basabali.org/Ulu_sari
Uluh	uluh	https://dictionary.basabali.org/Uluh
Uluk-uluk	uluk-uluk	https://dictionary.basabali.org/Uluk-uluk
Ululikur	ululikur	https://dictionary.basabali.org/Ululikur
Ulun	ulun	https://dictionary.basabali.org/Ulun
Ulung	ulung	https://dictionary.basabali.org/Ulung
Ulung dasa	ulung dasa	https://dictionary.basabali.org/Ulung_dasa
Ulung dasa besik	ulung dasa besik	https://dictionary.basabali.org/Ulung_dasa_besik
Ulung dasa dua	ulung dasa dua	https://dictionary.basabali.org/Ulung_dasa_dua
Ulung dasa telu	ulung dasa telu	https://dictionary.basabali.org/Ulung_dasa_telu
Ulungang	ulungang	https://dictionary.basabali.org/Ulungang
Ulungin	ulungin	https://dictionary.basabali.org/Ulungin
Uma	uma	https://dictionary.basabali.org/Uma
Umad	umad	https://dictionary.basabali.org/Umad
Umah	umah	https://dictionary.basabali.org/Umah
Umah semut	umah semut	https://dictionary.basabali.org/Umah_semut
Umahne	umahne	https://dictionary.basabali.org/Umahne
Umanis	umanis	https://dictionary.basabali.org/Umanis
Umbah	umbah	https://dictionary.basabali.org/Umbah
Umbah-umbahan	umbah-umbahan	https://dictionary.basabali.org/Umbah-umbahan
Umbi-umbian	umbi-umbian	https://dictionary.basabali.org/Umbi-umbian
Umbul-umbul	umbul-umbul	https://dictionary.basabali.org/Umbul-umbul
Umpal	umpal	https://dictionary.basabali.org/Umpal
Umpal bangsing	umpal bangsing	https://dictionary.basabali.org/Umpal_bangsing
Umpal putih	umpal putih	https://dictionary.basabali.org/Umpal_putih
Umpama	umpama	https://dictionary.basabali.org/Umpama
Umpamayang	umpamayang	https://dictionary.basabali.org/Umpamayang
Umpamine	umpamine	https://dictionary.basabali.org/Umpamine
Umpan	umpan	https://dictionary.basabali.org/Umpan
Umpan balik	umpan balik	https://dictionary.basabali.org/Umpan_balik
Umur	umur	https://dictionary.basabali.org/Umur
Undag	undag	https://dictionary.basabali.org/Undag
Undagi	undagi	https://dictionary.basabali.org/Undagi
Undakan	undakan	https://dictionary.basabali.org/Undakan
Undangan	undangan	https://dictionary.basabali.org/Undangan
Undar	undar	https://dictionary.basabali.org/Undar
Undebang	undebang	https://dictionary.basabali.org/Undebang
Undis	undis	https://dictionary.basabali.org/Undis
Unduk	unduk	https://dictionary.basabali.org/Unduk
Unduke	unduke	https://dictionary.basabali.org/Unduke
Undur-undur	undur-undur	https://dictionary.basabali.org/Undur-undur
Unen-unen	unen-unen	https://dictionary.basabali.org/Unen-unen
Ungas	ungas	https://dictionary.basabali.org/Ungas
